run,Ps3,Ps4,BCM1I,BCM2I,BCM4AI,BCM4CI,BCM1Q,BCM2Q,BCM4AQ,BCM4CQ,Ps3HMSCLT,Ps4HMSCLT,trkEff,hTRIG3,hTRIG4
6313.0,-1.0,1.0,29.5,29.334,29.02,41.278,52914.726,52616.176,52053.875,74041.373,-0.6587,0.9988,0.9958,1505607.0,992046.0
4098.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2768.0,-1.0,-1.0,19.102,19.049,18.952,19.22,52727.069,52580.779,52311.981,53051.723,-0.3041,-0.4251,0.9974,10889616.0,7791562.0
3111.0,-1.0,-1.0,7.81,32.577,7.754,8.872,5524.424,23042.516,5484.872,6275.432,-0.3108,-0.506,0.9976,4359806.0,2677136.0
5744.0,-1.0,1.0,10.028,9.96,9.83,13.948,17652.364,17532.725,17304.104,24551.636,-0.177,0.9999,0.9967,1948479.0,341834.0
2006.0,-1.0,-1.0,14.252,14.229,14.14,14.161,17341.555,17313.203,17205.183,17230.998,-0.0898,-0.1298,0.9977,1388189.0,960313.0
4653.0,1.0,-1.0,10.929,11.047,10.988,12.839,132.767,134.209,133.493,155.977,0.9884,-0.9901,0.9985,18867.0,4453.0
6586.0,-1.0,1.0,6.212,6.172,6.062,8.53,11058.059,10985.761,10790.378,15183.381,-0.1709,0.9898,0.9967,22272859.0,3844663.0
1922.0,-1.0,-1.0,9.641,9.642,9.607,9.628,24767.553,24770.51,24679.97,24733.215,-0.0916,-0.1189,0.9976,2168150.0,1669424.0
2058.0,-1.0,-1.0,29.043,29.069,28.988,29.008,1732.159,1733.758,1728.909,1730.081,-0.0527,-0.0653,0.9977,1163531.0,939262.0
1887.0,-1.0,-1.0,9.47,9.639,9.601,9.624,20991.3,21365.955,21280.85,21332.857,-0.0932,-0.1209,0.9978,1866147.0,1437760.0
6423.0,-1.0,1.0,5.957,5.942,5.849,8.235,1436.964,1433.278,1410.832,1986.348,-0.2712,0.9968,0.9972,305769.0,82287.0
4163.0,-1.0,-1.0,16.629,16.648,16.662,19.53,1702.28,1704.241,1705.608,1999.182,-0.2378,-0.3061,0.9968,140465.0,106733.0
3784.0,-1.0,-1.0,33.652,33.71,33.903,39.822,96746.459,96914.181,97468.524,114483.104,-0.2108,-0.2543,0.9906,47461427.0,39347314.0
2693.0,-1.0,-1.0,4.962,4.947,4.908,4.935,6589.345,6569.183,6517.688,6553.098,-0.167,-0.2315,0.9979,1781953.0,1282772.0
5569.0,-1.0,1.0,9.154,9.098,8.979,12.769,7766.18,7718.367,7617.413,10833.103,-0.4893,1.0,0.9968,214510.0,66470.0
2868.0,-1.0,-1.0,36.907,36.858,36.663,37.219,15315.299,15295.13,15214.179,15444.756,-0.5036,-0.9444,0.0,63292.0,19498.0
4310.0,-1.0,1.0,29.308,29.316,29.175,34.088,699.337,699.508,696.14,813.385,-0.0537,0.0927,0.9968,29587.0,17145.0
4953.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
5844.0,-1.0,1.0,20.062,19.979,19.795,28.237,35629.032,35481.68,35153.424,50146.514,-0.2463,1.0,0.9964,898307.0,219608.0
