run,		Ps3,		Ps4,		BCM1I,		BCM2I,		BCM4AI,		BCM4CI,		BCM1Q,		BCM2Q,		BCM4AQ,		BCM4CQ,		Ps3HMSCLT,		Ps4HMSCLT,		trkEff,		hTRIG3,		hTRIG4
5868,		-1,		1,		12.094,		12.066,		11.948,		17.025,		19955.542,		19910.171,		19714.422,		28091.373,		-0.1723,		0.9996,		0.997,		2204798,		375400
5840,		-1,		1,		19.678,		19.585,		19.394,		27.663,		34225.391,		34063.82,		33730.296,		48113.112,		-0.2497,		1.0,		0.9965,		862444,		211818
3625,		-1,		1,		18.59,		19.651,		19.587,		22.589,		44609.529,		47157.091,		47003.254,		54207.859,		-0.6683,		0.9997,		0.9964,		1435758,		959537
3780,		-1,		1,		5.158,		5.164,		5.164,		5.997,		13050.576,		13065.714,		13067.917,		15174.021,		-0.6008,		0.9971,		0.993,		7289808,		4389893
6349,		-1,		1,		19.551,		19.46,		19.239,		27.34,		21415.068,		21316.349,		21074.014,		29946.952,		-0.6687,		0.9992,		0.9961,		627827,		419508
4609,		-1,		1,		3.084,		3.097,		3.082,		3.544,		5441.691,		5464.923,		5438.039,		6254.52,		-0.2192,		0.9866,		0.9978,		2820224,		623661
6427,		-1,		1,		10.101,		10.045,		9.895,		14.032,		11661.474,		11597.376,		11424.197,		16200.927,		-0.2586,		0.9958,		0.9967,		2465309,		638925
6479,		-1,		1,		10.955,		10.912,		10.757,		15.271,		17793.475,		17722.515,		17471.581,		24801.951,		-0.3129,		0.9987,		0.9973,		2537249,		789825
5740,		-1,		1,		9.69,		9.624,		9.507,		13.48,		12277.473,		12193.723,		12045.603,		17079.23,		-0.1893,		0.9999,		0.9967,		1354889,		239323
4657,		-1,		1,		10.57,		10.696,		10.657,		12.455,		18981.587,		19208.903,		19138.458,		22367.084,		-0.2093,		0.9984,		0.996,		4228179,		881951
6317,		-1,		1,		28.977,		28.841,		28.541,		40.596,		51413.188,		51171.574,		50638.745,		72028.318,		-0.6591,		0.9988,		0.9963,		1471837,		970262
5533,		-1,		1,		12.255,		12.173,		11.992,		17.066,		15956.932,		15849.597,		15614.009,		22220.275,		-0.2802,		1.0,		0.998,		424812,		119046
4909,		-1,		1,		7.739,		7.824,		7.748,		8.981,		13509.451,		13656.229,		13524.747,		15676.403,		-0.2067,		0.9995,		0.9965,		7250753,		1495135
4837,		-1,		1,		7.698,		7.785,		7.751,		9.028,		11910.269,		12045.03,		11991.827,		13967.17,		-0.2081,		0.9989,		0.995,		6384633,		1322738
5885,		-1,		1,		17.503,		17.456,		17.289,		24.629,		27108.026,		27035.488,		26775.346,		38143.633,		-0.1718,		0.9999,		0.9963,		1413894,		237112
5363,		-1,		1,		23.195,		23.24,		23.071,		27.001,		45066.089,		45153.623,		44824.227,		52460.789,		-0.5258,		0.9996,		0.9971,		3119460,		1638526
6547,		-1,		1,		6.148,		6.1,		5.997,		8.449,		10886.615,		10800.475,		10619.137,		14960.763,		-0.259,		0.9954,		0.9964,		5805771,		1508844
